person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,credit_history_to_employment_ratio
22.0,59000.0,3,123.0,4,3,35000.0,16.02,1.0,0.5932203389830508,1,3.0,0.024193548387096774
21.0,9600.0,2,5.0,1,1,1000.0,11.14,0.0,0.10416666666666667,0,2.0,0.3333333333333333
25.0,9600.0,0,1.0,3,2,5500.0,12.87,1.0,0.5729166666666666,0,3.0,1.5
23.0,65500.0,3,4.0,3,2,35000.0,15.23,1.0,0.5343511450381679,0,2.0,0.4
24.0,54400.0,3,8.0,3,2,35000.0,14.27,1.0,0.6433823529411765,1,4.0,0.4444444444444444
21.0,9900.0,2,2.0,5,0,2500.0,7.14,1.0,0.25252525252525254,0,2.0,0.6666666666666666
26.0,77100.0,3,8.0,1,1,35000.0,12.42,1.0,0.45395590142671854,0,3.0,0.3333333333333333
24.0,78956.0,3,5.0,3,1,35000.0,11.11,1.0,0.44328486752115104,0,4.0,0.6666666666666666
24.0,83000.0,3,8.0,4,0,35000.0,8.9,1.0,0.42168674698795183,0,2.0,0.2222222222222222
21.0,10000.0,2,6.0,5,3,1600.0,14.74,1.0,0.16,0,3.0,0.42857142857142855
22.0,85000.0,3,6.0,5,1,35000.0,10.37,1.0,0.4117647058823529,0,4.0,0.5714285714285714
21.0,10000.0,2,2.0,2,0,4500.0,8.63,1.0,0.45,0,2.0,0.6666666666666666
23.0,95000.0,3,2.0,5,0,35000.0,7.9,1.0,0.3684210526315789,0,2.0,0.6666666666666666
26.0,108160.0,3,4.0,1,4,35000.0,18.39,1.0,0.323594674556213,0,4.0,0.8
23.0,115000.0,3,2.0,1,0,35000.0,7.9,0.0,0.30434782608695654,0,4.0,1.3333333333333333
23.0,120000.0,3,0.0,1,0,35000.0,7.9,0.0,0.2916666666666667,0,4.0,4.0
23.0,92111.0,3,7.0,3,5,35000.0,20.25,1.0,0.3799763329026935,0,4.0,0.5
23.0,113000.0,3,8.0,0,3,35000.0,18.25,1.0,0.30973451327433627,0,4.0,0.4444444444444444
24.0,10800.0,0,8.0,1,1,1750.0,10.99,1.0,0.16203703703703703,0,2.0,0.2222222222222222
25.0,162500.0,3,2.0,5,0,35000.0,7.49,0.0,0.2153846153846154,0,4.0,1.3333333333333333
25.0,137000.0,3,9.0,4,4,34800.0,16.77,0.0,0.25401459854014596,1,2.0,0.2
22.0,65000.0,3,4.0,1,3,34000.0,17.58,1.0,0.5230769230769231,0,4.0,0.8
24.0,10980.0,2,0.0,4,0,1500.0,7.29,0.0,0.1366120218579235,0,3.0,3.0
22.0,80000.0,3,3.0,4,3,33950.0,14.54,1.0,0.424375,1,4.0,1.0
24.0,67746.0,3,8.0,2,2,33000.0,12.68,1.0,0.4871136303250376,0,3.0,0.3333333333333333
21.0,11000.0,0,3.0,5,4,4575.0,17.74,1.0,0.4159090909090909,1,3.0,0.75
23.0,11000.0,2,0.0,4,0,1400.0,9.32,0.0,0.12727272727272726,0,3.0,3.0
24.0,65000.0,3,6.0,2,1,32500.0,9.99,1.0,0.5,0,3.0,0.42857142857142855
21.0,11389.0,1,5.0,1,2,4000.0,12.84,1.0,0.3512160856967249,1,2.0,0.3333333333333333
21.0,11520.0,2,5.0,3,1,2000.0,11.12,1.0,0.1736111111111111,0,3.0,0.5
25.0,120000.0,3,2.0,5,0,32000.0,6.62,0.0,0.26666666666666666,0,2.0,0.6666666666666666
26.0,95000.0,3,7.0,2,2,31050.0,14.17,1.0,0.3268421052631579,1,3.0,0.375
21.0,12000.0,2,5.0,1,0,2500.0,7.51,1.0,0.20833333333333334,0,4.0,0.6666666666666666
22.0,48000.0,3,1.0,1,4,30000.0,18.39,1.0,0.625,0,2.0,1.0
24.0,64000.0,3,8.0,0,3,30000.0,14.54,1.0,0.46875,1,3.0,0.3333333333333333
25.0,75000.0,3,4.0,2,3,30000.0,16.89,1.0,0.4,1,4.0,0.8
23.0,71500.0,3,3.0,0,3,30000.0,10.99,1.0,0.4195804195804196,0,4.0,1.0
26.0,62050.0,3,6.0,3,4,30000.0,17.99,1.0,0.48348106365834004,0,2.0,0.2857142857142857
24.0,12000.0,2,4.0,5,1,2500.0,12.69,1.0,0.20833333333333334,0,3.0,0.6
26.0,80690.0,3,8.0,4,0,30000.0,7.49,1.0,0.37179328293468833,0,3.0,0.3333333333333333
22.0,66300.0,3,4.0,3,1,30000.0,12.69,1.0,0.45248868778280543,0,3.0,0.6
26.0,89028.0,3,0.0,0,0,30000.0,6.62,1.0,0.33697263782180886,0,3.0,3.0
24.0,78000.0,3,4.0,0,3,30000.0,10.99,1.0,0.38461538461538464,1,4.0,0.8
23.0,78000.0,3,7.0,0,5,30000.0,18.62,1.0,0.38461538461538464,1,3.0,0.375
23.0,92004.0,3,6.0,4,2,30000.0,15.23,1.0,0.32607277944437196,1,3.0,0.42857142857142855
23.0,97000.0,3,7.0,5,1,30000.0,10.65,1.0,0.30927835051546393,0,2.0,0.25
25.0,120000.0,3,9.0,1,0,30000.0,7.9,0.0,0.25,0,4.0,0.4
25.0,128000.0,3,9.0,4,0,30000.0,7.29,0.0,0.234375,0,4.0,0.4
24.0,12000.0,2,2.0,5,4,1750.0,10.99,0.0,0.14583333333333334,1,3.0,1.0
21.0,131000.0,3,0.0,5,0,30000.0,5.99,0.0,0.22900763358778625,0,4.0,4.0
25.0,221850.0,0,9.0,3,3,25000.0,15.7,1.0,0.1126887536623845,0,2.0,0.2
22.0,70000.0,3,6.0,1,3,29100.0,15.99,1.0,0.4157142857142857,0,3.0,0.42857142857142855
22.0,12000.0,0,7.0,1,3,1500.0,14.84,0.0,0.125,1,3.0,0.375
25.0,12000.0,2,0.0,3,2,3000.0,10.99,1.0,0.25,0,3.0,3.0
22.0,56950.0,3,6.0,3,0,28000.0,10.99,1.0,0.4916593503072871,0,2.0,0.2857142857142857
21.0,12000.0,2,6.0,1,2,3000.0,13.61,1.0,0.25,1,3.0,0.42857142857142855
23.0,65000.0,3,2.0,1,0,28000.0,7.9,1.0,0.4307692307692308,0,2.0,0.6666666666666666
26.0,85000.0,3,2.0,5,0,28000.0,7.49,1.0,0.32941176470588235,0,3.0,1.0
26.0,12000.0,2,2.0,1,0,6100.0,7.51,1.0,0.5083333333333333,0,3.0,1.0
22.0,88000.0,3,6.0,5,1,28000.0,9.91,1.0,0.3181818181818182,0,3.0,0.42857142857142855
21.0,12000.0,2,0.0,4,2,4200.0,13.48,1.0,0.35,1,4.0,4.0
22.0,12000.0,2,6.0,0,0,4750.0,7.14,1.0,0.3958333333333333,0,2.0,0.2857142857142857
24.0,83004.0,3,0.0,5,3,28000.0,15.99,1.0,0.33733314057153874,1,4.0,4.0
25.0,100000.0,3,5.0,0,1,28000.0,12.69,0.0,0.28,0,3.0,0.5
26.0,110000.0,3,10.0,1,0,28000.0,8.9,0.0,0.2545454545454545,0,2.0,0.18181818181818182
26.0,12000.0,2,0.0,0,0,2700.0,10.99,1.0,0.225,0,4.0,4.0
22.0,108000.0,3,6.0,1,1,28000.0,10.99,1.0,0.25925925925925924,0,4.0,0.5714285714285714
23.0,151200.0,3,7.0,0,1,28000.0,11.11,0.0,0.18518518518518517,0,2.0,0.25
24.0,69000.0,3,2.0,2,0,27600.0,10.99,1.0,0.4,0,2.0,0.6666666666666666
21.0,12000.0,0,5.0,0,4,3250.0,15.68,1.0,0.2708333333333333,1,3.0,0.5
22.0,70000.0,3,4.0,1,2,27500.0,13.06,1.0,0.39285714285714285,1,3.0,0.6
26.0,73200.0,3,5.0,5,3,27050.0,15.62,1.0,0.36953551912568305,1,2.0,0.3333333333333333
24.0,83000.0,3,5.0,4,2,27000.0,13.49,1.0,0.3253012048192771,1,2.0,0.3333333333333333
24.0,73399.0,3,0.0,5,3,27000.0,10.99,1.0,0.36785242305753485,0,3.0,3.0
23.0,62500.0,3,7.0,3,1,26000.0,11.71,1.0,0.416,0,2.0,0.25
23.0,120000.0,3,1.0,1,1,25600.0,12.69,0.0,0.21333333333333335,0,3.0,1.5
24.0,12360.0,2,2.0,3,2,1600.0,13.57,0.0,0.12944983818770225,0,3.0,1.0
22.0,60000.0,3,0.0,5,1,25475.0,10.99,1.0,0.4245833333333333,0,3.0,3.0
25.0,221004.0,0,6.0,0,3,11900.0,14.42,1.0,0.053845179272773346,1,3.0,0.42857142857142855
23.0,83000.0,3,7.0,1,1,25300.0,10.99,1.0,0.30481927710843376,0,3.0,0.375
22.0,12600.0,0,4.0,4,0,2000.0,5.42,1.0,0.15873015873015872,0,4.0,0.8
25.0,12600.0,2,3.0,4,2,1750.0,13.61,0.0,0.1388888888888889,0,3.0,0.75
21.0,42500.0,3,3.0,1,2,25000.0,12.73,1.0,0.5882352941176471,1,3.0,0.75
24.0,41000.0,3,2.0,2,3,25000.0,10.99,1.0,0.6097560975609756,0,3.0,1.0
25.0,12816.0,2,0.0,0,2,3000.0,12.87,1.0,0.2340823970037453,1,4.0,4.0
24.0,12960.0,0,1.0,2,1,3650.0,9.91,1.0,0.2816358024691358,0,3.0,1.5
25.0,225000.0,0,0.0,2,4,30000.0,19.91,0.0,0.13333333333333333,1,2.0,2.0
26.0,213000.0,0,6.0,1,1,35000.0,10.65,1.0,0.1643192488262911,0,2.0,0.2857142857142857
24.0,225000.0,3,0.0,3,1,6000.0,10.99,0.0,0.02666666666666667,0,4.0,4.0
24.0,12960.0,0,0.0,0,1,4500.0,11.83,1.0,0.3472222222222222,0,4.0,4.0
23.0,12996.0,2,0.0,0,2,2400.0,13.49,1.0,0.18467220683287167,1,2.0,2.0
22.0,42000.0,3,6.0,3,3,25000.0,14.59,1.0,0.5952380952380952,1,2.0,0.2857142857142857
26.0,48000.0,3,2.0,1,1,25000.0,9.64,1.0,0.5208333333333334,0,4.0,1.3333333333333333
25.0,12996.0,2,1.0,3,3,3600.0,14.59,1.0,0.2770083102493075,0,3.0,1.5
22.0,12996.0,2,1.0,1,1,4750.0,10.99,1.0,0.3654970760233918,0,3.0,1.5
25.0,42360.0,3,1.0,1,4,25000.0,16.35,1.0,0.5901794145420207,1,3.0,1.5
21.0,49000.0,3,4.0,1,1,25000.0,10.99,1.0,0.5102040816326531,0,2.0,0.4
25.0,225000.0,0,0.0,5,5,25000.0,18.67,0.0,0.1111111111111111,0,2.0,2.0
26.0,225000.0,3,1.0,1,0,3000.0,9.32,0.0,0.013333333333333334,0,4.0,2.0
23.0,225000.0,3,8.0,0,0,7500.0,8.63,0.0,0.03333333333333333,0,2.0,0.2222222222222222
26.0,225000.0,0,2.0,5,1,25000.0,10.08,0.0,0.1111111111111111,0,2.0,0.6666666666666666
22.0,49464.0,3,5.0,4,1,25000.0,11.83,1.0,0.5054180818372959,0,3.0,0.5
23.0,50000.0,3,1.0,0,0,25000.0,7.9,1.0,0.5,0,3.0,1.5
25.0,50000.0,3,4.0,2,0,25000.0,5.99,1.0,0.5,0,2.0,0.4
24.0,44000.0,3,2.0,0,3,25000.0,15.33,1.0,0.5681818181818182,0,2.0,0.6666666666666666
23.0,50000.0,3,1.0,5,1,25000.0,11.83,1.0,0.5,0,4.0,2.0
22.0,50004.0,3,0.0,5,1,25000.0,10.36,1.0,0.49996000319974404,0,2.0,2.0
22.0,50004.0,3,3.0,5,2,25000.0,12.23,1.0,0.49996000319974404,0,3.0,0.75
22.0,52000.0,3,2.0,1,1,25000.0,11.11,1.0,0.4807692307692308,0,4.0,1.3333333333333333
23.0,13200.0,2,3.0,0,0,4950.0,7.9,1.0,0.375,0,4.0,1.0
24.0,220000.0,0,1.0,1,1,25000.0,11.58,0.0,0.11363636363636363,0,2.0,1.0
23.0,216000.0,0,5.0,0,0,21000.0,8.9,0.0,0.09722222222222222,0,3.0,0.5
25.0,216000.0,0,2.0,1,3,25000.0,16.07,0.0,0.11574074074074074,0,3.0,1.0
26.0,216000.0,0,10.0,1,2,20000.0,14.22,0.0,0.09259259259259259,1,2.0,0.18181818181818182
23.0,215000.0,0,7.0,3,2,35000.0,14.79,0.0,0.16279069767441862,1,3.0,0.375
26.0,215000.0,0,11.0,1,0,12000.0,7.88,0.0,0.05581395348837209,0,2.0,0.16666666666666666
23.0,52000.0,3,1.0,4,2,25000.0,13.22,1.0,0.4807692307692308,0,2.0,1.0
26.0,46000.0,3,2.0,0,3,25000.0,11.86,1.0,0.5434782608695652,0,4.0,1.3333333333333333
22.0,53000.0,3,5.0,1,2,25000.0,13.43,1.0,0.4716981132075472,1,4.0,0.6666666666666666
26.0,47000.0,3,0.0,2,3,25000.0,15.28,1.0,0.5319148936170213,1,2.0,2.0
23.0,47000.0,3,1.0,5,4,25000.0,17.93,1.0,0.5319148936170213,0,2.0,1.0
23.0,13200.0,0,2.0,1,1,1400.0,9.25,0.0,0.10606060606060606,0,4.0,1.3333333333333333
21.0,13200.0,2,0.0,5,2,4500.0,12.98,1.0,0.3409090909090909,0,4.0,4.0
22.0,210000.0,0,6.0,5,1,16000.0,10.62,0.0,0.0761904761904762,0,4.0,0.5714285714285714
26.0,210000.0,2,10.0,4,1,22000.0,11.83,0.0,0.10476190476190476,0,4.0,0.36363636363636365
26.0,48000.0,3,5.0,5,5,25000.0,18.43,1.0,0.5208333333333334,0,2.0,0.3333333333333333
22.0,54996.0,3,6.0,1,1,25000.0,10.99,1.0,0.4545785148010764,0,4.0,0.5714285714285714
24.0,55000.0,3,4.0,2,3,25000.0,10.99,1.0,0.45454545454545453,1,4.0,0.8
23.0,55000.0,3,4.0,1,1,25000.0,11.36,1.0,0.45454545454545453,0,3.0,0.6
23.0,55000.0,3,4.0,1,3,25000.0,15.65,1.0,0.45454545454545453,1,3.0,0.6
24.0,55164.0,3,8.0,4,2,25000.0,13.22,1.0,0.4531941121020956,1,4.0,0.4444444444444444
26.0,56000.0,3,4.0,0,2,25000.0,12.87,1.0,0.44642857142857145,0,2.0,0.4
24.0,203500.0,2,8.0,3,2,20000.0,13.04,0.0,0.09828009828009827,0,3.0,0.3333333333333333
23.0,190000.0,0,5.0,1,5,22000.0,17.58,1.0,0.11578947368421053,1,3.0,0.5
23.0,13920.0,2,2.0,4,4,7750.0,17.04,1.0,0.5567528735632183,0,4.0,1.3333333333333333
24.0,60000.0,3,0.0,4,1,25000.0,10.99,1.0,0.4166666666666667,0,3.0,3.0
24.0,60000.0,3,2.0,4,1,25000.0,11.11,1.0,0.4166666666666667,0,3.0,1.0
26.0,54000.0,3,7.0,0,3,25000.0,14.83,1.0,0.46296296296296297,1,2.0,0.25
23.0,14000.0,2,2.0,0,3,4000.0,10.99,1.0,0.2857142857142857,0,3.0,1.0
24.0,200000.0,3,8.0,3,1,12000.0,12.69,0.0,0.06,0,2.0,0.2222222222222222
24.0,200000.0,0,8.0,2,2,12000.0,13.49,0.0,0.06,0,2.0,0.2222222222222222
21.0,200000.0,0,5.0,1,2,16000.0,14.65,0.0,0.08,0,4.0,0.6666666666666666
25.0,54000.0,3,3.0,2,4,25000.0,16.82,1.0,0.46296296296296297,0,4.0,1.0
23.0,60000.0,3,3.0,4,2,25000.0,12.73,1.0,0.4166666666666667,0,3.0,0.75
23.0,60000.0,3,7.0,4,1,25000.0,10.25,1.0,0.4166666666666667,0,4.0,0.5
21.0,60000.0,3,6.0,1,1,25000.0,10.99,1.0,0.4166666666666667,0,4.0,0.5714285714285714
25.0,61959.0,3,9.0,3,2,25000.0,12.73,1.0,0.4034926322245356,0,2.0,0.2
22.0,56400.0,3,2.0,2,3,25000.0,14.96,1.0,0.4432624113475177,1,3.0,1.0
23.0,200000.0,0,7.0,1,0,28000.0,10.99,0.0,0.14,0,2.0,0.25
21.0,200000.0,0,2.0,0,2,25000.0,13.99,0.0,0.125,0,2.0,0.6666666666666666
24.0,200000.0,0,3.0,5,0,24000.0,7.49,0.0,0.12,0,4.0,1.0
26.0,200000.0,0,4.0,1,2,15000.0,14.79,0.0,0.075,0,3.0,0.6
25.0,200000.0,0,2.0,0,1,15500.0,11.99,0.0,0.0775,0,2.0,0.6666666666666666
24.0,200000.0,3,8.0,1,0,10000.0,8.49,0.0,0.05,0,4.0,0.4444444444444444
24.0,66000.0,3,3.0,1,1,25000.0,9.91,1.0,0.3787878787878788,0,2.0,0.5
22.0,66000.0,3,6.0,1,2,25000.0,13.06,1.0,0.3787878787878788,1,3.0,0.42857142857142855
22.0,200000.0,0,6.0,0,0,9000.0,6.17,0.0,0.045,0,4.0,0.5714285714285714
25.0,200000.0,3,5.0,1,3,18000.0,16.32,0.0,0.09,0,3.0,0.5
25.0,200000.0,0,2.0,5,1,12000.0,10.38,0.0,0.06,0,2.0,0.6666666666666666
25.0,200000.0,0,9.0,4,2,23050.0,14.35,0.0,0.11525,0,3.0,0.3
